Year,Ranking,Series,"NIPA Table 2.9, Line Number",Quantile or Summary Metric,Value
2000,None,Compensation of employees,23,Total ($Billions),5847
2000,None,Proprietors' income with inventory valuation,24,Total ($Billions),754
2000,None,Rental income of households with capital consumption adjustment,25,Total ($Billions),180
2000,None,Household income receipts on assets,26,Total ($Billions),1411
2000,None,Household interest income,27,Total ($Billions),1035
2000,None,Household dividend income,28,Total ($Billions),376
2000,None,Household current transfer receipts,29,Total ($Billions),1108
2000,None,Government social benefits,30,Total ($Billions),1033
2000,None,Household current transfer receipts from business (net),31,Total ($Billions),31
2000,None,Household current transfer receipts from nonprofit institutions,32,Total ($Billions),44
2000,None,"Contributions for government social insurance, domestic",33,Total ($Billions),706
2000,None,Household income,22,Total ($Billions),8594
2000,None,Personal income,1,Total ($Billions),8621
2000,None,Taxes,12,Total ($Billions),1236
2000,None,Disposable personal income,13,Total ($Billions),7385
2000,None,Compensation of employees,23,Total ($Billions),5847
2000,None,Proprietors' income with inventory valuation,24,Total ($Billions),754
2000,None,Rental income of households with capital consumption adjustment,25,Total ($Billions),180
2000,None,Household income receipts on assets,26,Total ($Billions),1411
2000,None,Household interest income,27,Total ($Billions),1035
2000,None,Household dividend income,28,Total ($Billions),376
2000,None,Household current transfer receipts,29,Total ($Billions),1108
2000,None,Government social benefits,30,Total ($Billions),1033
2000,None,Household current transfer receipts from business (net),31,Total ($Billions),31
2000,None,Household current transfer receipts from nonprofit institutions,32,Total ($Billions),44
2000,None,"Contributions for government social insurance, domestic",33,Total ($Billions),706
2000,None,Household income,22,Total ($Billions),8594
2000,None,Personal income,1,Total ($Billions),8621
2000,None,Taxes,12,Total ($Billions),1236
2000,None,Disposable personal income,13,Total ($Billions),7385
2000,None,Unweighted Observations,N/A,Total,78000
2000,None,Weighted Observations,N/A,Total,108208744
2000,Equivalized Personal Income,Compensation of employees,23,0-10%,0.0109
2000,Equivalized Personal Income,Proprietors' income with inventory valuation,24,0-10%,-0.0032
2000,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25,0-10%,0.0247
2000,Equivalized Personal Income,Household income receipts on assets,26,0-10%,0.0084
2000,Equivalized Personal Income,Household interest income,27,0-10%,0.0101
2000,Equivalized Personal Income,Household dividend income,28,0-10%,0.0038
2000,Equivalized Personal Income,Household current transfer receipts,29,0-10%,0.0817
2000,Equivalized Personal Income,Government social benefits,30,0-10%,0.0811
2000,Equivalized Personal Income,Household current transfer receipts from business (net),31,0-10%,0.0182
2000,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32,0-10%,0.1423
2000,Equivalized Personal Income,"Contributions for government social insurance, domestic",33,0-10%,0.0112
2000,Equivalized Personal Income,Household income,22,0-10%,0.0186
2000,Equivalized Personal Income,Personal income,1,0-10%,0.018
2000,Equivalized Personal Income,Taxes,12,0-10%,0.0016
2000,Equivalized Personal Income,Disposable personal income,13,0-10%,0.0207
2000,Equivalized Personal Income,Compensation of employees,23,10-20%,0.0246
2000,Equivalized Personal Income,Proprietors' income with inventory valuation,24,10-20%,0.0026
2000,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25,10-20%,0.0437
2000,Equivalized Personal Income,Household income receipts on assets,26,10-20%,0.0107
2000,Equivalized Personal Income,Household interest income,27,10-20%,0.0125
2000,Equivalized Personal Income,Household dividend income,28,10-20%,0.0059
2000,Equivalized Personal Income,Household current transfer receipts,29,10-20%,0.1248
2000,Equivalized Personal Income,Government social benefits,30,10-20%,0.1308
2000,Equivalized Personal Income,Household current transfer receipts from business (net),31,10-20%,0.0333
2000,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32,10-20%,0.0493
2000,Equivalized Personal Income,"Contributions for government social insurance, domestic",33,10-20%,0.0257
2000,Equivalized Personal Income,Household income,22,10-20%,0.0336
2000,Equivalized Personal Income,Personal income,1,10-20%,0.0336
2000,Equivalized Personal Income,Taxes,12,10-20%,0.0059
2000,Equivalized Personal Income,Disposable personal income,13,10-20%,0.0382
2000,Equivalized Personal Income,Compensation of employees,23,20-30%,0.0352
2000,Equivalized Personal Income,Proprietors' income with inventory valuation,24,20-30%,0.0047
2000,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25,20-30%,0.0537
2000,Equivalized Personal Income,Household income receipts on assets,26,20-30%,0.0161
2000,Equivalized Personal Income,Household interest income,27,20-30%,0.0183
2000,Equivalized Personal Income,Household dividend income,28,20-30%,0.0102
2000,Equivalized Personal Income,Household current transfer receipts,29,20-30%,0.1377
2000,Equivalized Personal Income,Government social benefits,30,20-30%,0.1426
2000,Equivalized Personal Income,Household current transfer receipts from business (net),31,20-30%,0.0426
2000,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32,20-30%,0.0895
2000,Equivalized Personal Income,"Contributions for government social insurance, domestic",33,20-30%,0.0362
2000,Equivalized Personal Income,Household income,22,20-30%,0.0429
2000,Equivalized Personal Income,Personal income,1,20-30%,0.0427
2000,Equivalized Personal Income,Taxes,12,20-30%,0.0107
2000,Equivalized Personal Income,Disposable personal income,13,20-30%,0.048
2000,Equivalized Personal Income,Compensation of employees,23,30-40%,0.0486
2000,Equivalized Personal Income,Proprietors' income with inventory valuation,24,30-40%,0.0091
2000,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25,30-40%,0.0608
2000,Equivalized Personal Income,Household income receipts on assets,26,30-40%,0.0259
2000,Equivalized Personal Income,Household interest income,27,30-40%,0.0291
2000,Equivalized Personal Income,Household dividend income,28,30-40%,0.0172
2000,Equivalized Personal Income,Household current transfer receipts,29,30-40%,0.1345
2000,Equivalized Personal Income,Government social benefits,30,30-40%,0.1395
2000,Equivalized Personal Income,Household current transfer receipts from business (net),31,30-40%,0.0524
2000,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32,30-40%,0.0764
2000,Equivalized Personal Income,"Contributions for government social insurance, domestic",33,30-40%,0.0496
2000,Equivalized Personal Income,Household income,22,30-40%,0.0526
2000,Equivalized Personal Income,Personal income,1,30-40%,0.0525
2000,Equivalized Personal Income,Taxes,12,30-40%,0.0181
2000,Equivalized Personal Income,Disposable personal income,13,30-40%,0.0583
2000,Equivalized Personal Income,Compensation of employees,23,40-50%,0.0673
2000,Equivalized Personal Income,Proprietors' income with inventory valuation,24,40-50%,0.0206
2000,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25,40-50%,0.071
2000,Equivalized Personal Income,Household income receipts on assets,26,40-50%,0.0389
2000,Equivalized Personal Income,Household interest income,27,40-50%,0.0422
2000,Equivalized Personal Income,Household dividend income,28,40-50%,0.03
2000,Equivalized Personal Income,Household current transfer receipts,29,40-50%,0.1164
2000,Equivalized Personal Income,Government social benefits,30,40-50%,0.1199
2000,Equivalized Personal Income,Household current transfer receipts from business (net),31,40-50%,0.0645
2000,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32,40-50%,0.0723
2000,Equivalized Personal Income,"Contributions for government social insurance, domestic",33,40-50%,0.0702
2000,Equivalized Personal Income,Household income,22,40-50%,0.0647
2000,Equivalized Personal Income,Personal income,1,40-50%,0.0647
2000,Equivalized Personal Income,Taxes,12,40-50%,0.0307
2000,Equivalized Personal Income,Disposable personal income,13,40-50%,0.0704
2000,Equivalized Personal Income,Compensation of employees,23,50-60%,0.0887
2000,Equivalized Personal Income,Proprietors' income with inventory valuation,24,50-60%,0.0271
2000,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25,50-60%,0.0764
2000,Equivalized Personal Income,Household income receipts on assets,26,50-60%,0.0518
2000,Equivalized Personal Income,Household interest income,27,50-60%,0.0554
2000,Equivalized Personal Income,Household dividend income,28,50-60%,0.042
2000,Equivalized Personal Income,Household current transfer receipts,29,50-60%,0.0994
2000,Equivalized Personal Income,Government social benefits,30,50-60%,0.1003
2000,Equivalized Personal Income,Household current transfer receipts from business (net),31,50-60%,0.0779
2000,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32,50-60%,0.0932
2000,Equivalized Personal Income,"Contributions for government social insurance, domestic",33,50-60%,0.0924
2000,Equivalized Personal Income,Household income,22,50-60%,0.0781
2000,Equivalized Personal Income,Personal income,1,50-60%,0.078
2000,Equivalized Personal Income,Taxes,12,50-60%,0.047
2000,Equivalized Personal Income,Disposable personal income,13,50-60%,0.0832
2000,Equivalized Personal Income,Compensation of employees,23,60-70%,0.1126
2000,Equivalized Personal Income,Proprietors' income with inventory valuation,24,60-70%,0.0409
2000,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25,60-70%,0.0883
2000,Equivalized Personal Income,Household income receipts on assets,26,60-70%,0.0664
2000,Equivalized Personal Income,Household interest income,27,60-70%,0.0698
2000,Equivalized Personal Income,Household dividend income,28,60-70%,0.057
2000,Equivalized Personal Income,Household current transfer receipts,29,60-70%,0.0845
2000,Equivalized Personal Income,Government social benefits,30,60-70%,0.0832
2000,Equivalized Personal Income,Household current transfer receipts from business (net),31,60-70%,0.0941
2000,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32,60-70%,0.1082
2000,Equivalized Personal Income,"Contributions for government social insurance, domestic",33,60-70%,0.1178
2000,Equivalized Personal Income,Household income,22,60-70%,0.0942
2000,Equivalized Personal Income,Personal income,1,60-70%,0.0941
2000,Equivalized Personal Income,Taxes,12,60-70%,0.0697
2000,Equivalized Personal Income,Disposable personal income,13,60-70%,0.0982
