Quarter,,,,,,,
,Retail Sales (millions of dollars) Total,Retail Sales (millions of dollars) E-commerce,E-commerce as a Percent of Total,Percent Change From Prior Quarter Total,Percent Change From Prior Quarter E-commerce,Percent Change From Same Quarter A Year Ago Total,Percent Change From Same Quarter A Year Ago E-commerce
"Adjusted^{2}
2nd quarter 2024(p)","1,826,928","291,647",16.0,0.5,1.3,2.1,6.7
1st quarter 2024(r),"1,818,701","287,855",15.8,-0.1,1.6,1.5,8.1
4th quarter 2023,"1,821,361","283,293",15.6,0.5,1.3,3.1,10.0
3rd quarter 2023,"1,811,793","279,739",15.4,1.2,2.3,2.4,9.5
"2nd quarter 2023(r)
Not Adjusted","1,789,656","273,354",15.3,-0.2,2.6,0.8,8.7
2nd quarter 2024(p),"1,854,004","282,289",15.2,8.0,5.3,1.9,6.6
1st quarter 2024(r),"1,717,431","267,976",15.6,-9.3,-17.0,2.7,8.4
4th quarter 2023,"1,892,581","322,862",17.1,4.3,20.1,2.8,9.8
3rd quarter 2023,"1,815,346","268,745",14.8,-0.3,1.5,2.2,9.6
2nd quarter 2023,"1,820,322","264,857",14.6,8.9,7.2,0.6,8.5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Quarter,Coefficient of Variation (CV) Total,Coefficient of Variation (CV) E-commerce,Standard Error (SE) for E-commerce as a Percent of Total,SE for Percent Change From Prior Quarter Total,SE for Percent Change From Prior Quarter  E-commerce,SE for Percent Change From Same Quarter A Year Ago Total,SE for Percent Change From Same Quarter A Year Ago E-commerce
2nd quarter 2024(p),0.8,1.9,0.2,0.1,0.4,0.2,0.7
1st quarter 2024(r),0.8,1.8,0.2,0.2,0.4,0.3,0.7
4th quarter 2023,0.7,1.9,0.3,0.2,0.5,0.2,0.6
3rd quarter 2023,0.7,2,0.2,0.1,0.2,0.2,0.5
2nd quarter 2023,0.7,1.9,0.2,0.1,0.3,0.3,0.7
